,Area,Type,Price,Apartment Name
215,"Boisar, Palghar","1, 2, 3 BHK Apartments",Price on Request,Rajesh Mahavir Kshitij
216,"Boisar, Palghar","1, 2 BHK Apartments",12.77 L - 19.61 L,Aryans Siddhivinayak Complex
217,"Boisar, Palghar","1 RK, 1 BHK Apartments",11.2 L - 17.36 L,Shree Enclave
218,"Boisar, Palghar","1, 2 BHK Apartments",22.05 L - 42.35 L,Drashti Exotica
219,Palgarh District,"1, 2, 3, 4 BHK Row House, Apartment, Bungalows",16.84 L - 74.38 L,Narang Affordable Housing Forum
220,"Boisar, Palghar","1, 2 BHK Apartments",15 L - 20 L,SSK Krishna Park
221,"Boisar, Palghar",1 BHK Apartment,17.0 L - 19 L,Timber Green Haren Textiles RA 10
222,"Boisar, Palghar","1, 2 BHK Apartments",13.5 L - 18.09 L,Sai Samrat Yashwant Sankalp
223,"Boisar, Palghar","1, 2 BHK Apartments",15.27 L - 22.83 L,Sugandhi Colours Pride
224,"Boisar, Palghar","1, 2 BHK Apartments",19.32 L - 24.92 L,Sonal Uday
225,"Boisar, Palghar","1, 2 BHK Apartments",16.53 L - 22.66 L,Hari Om Darshan
226,"Boisar, Palghar",1 BHK Apartment,13.68 L,Sai Yashodhan
227,Palghar,"2, 3 BHK Duplex, Bungalows",45.0 L - 75.0 L,Shyam Shrusti Green Field
228,"Boisar, Palghar","1, 2 BHK Apartments",15.68 L - 25.37 L,Parmeshwari Lotus Residency
229,"Boisar, Palghar","1, 2 BHK Apartments",21.1 L - 36.18 L,Riddhi Radhey Sai Swarg - 3
230,Palghar,"1 RK, 1 BHK Apartments",12.61 L - 15.34 L,Raaj Rajeshwari Hitakshi Apartment
231,"Boisar, Palghar","1 RK, 1, 2 BHK Apartments",10.79 L - 23.01 L,Om Shri Arham Shrusti Residency
232,"Boisar, Palghar",1 BHK Apartment,19.65 L,Rajesh Mahavir Kunj
233,"Boisar, Palghar",1 BHK Apartment,14.99 L,Bhatia Radhe Sham Park
234,"Boisar, Palghar","1, 2 BHK Apartments",15.54 L - 19.32 L,Raj Shree Nirman Gokuldham
235,"Boisar, Palghar","1, 2 BHK Apartments",15 L - 25.65 L,Yamuna Shrushti Icchapurti Residency
